diagnostic_name,component,tablegen_message,test_reachable,emission_context_available
err_atomic_op_needs_atomic_int,Sema,address argument to atomic operation must be a pointer to %select{|atomic }0integer (%1 invalid),false,true
err_atomic_op_needs_atomic_int_or_fp,Sema,address argument to atomic operation must be a pointer to %select{|atomic }0integer or supported floating point type (%1 invalid),false,true
err_atomic_op_needs_non_address_discriminated_pointer,Sema,address argument to %select{atomic|__sync}0 operation must be a pointer to a non address discriminated type (%1 invalid),false,true
err_atomic_property_nontrivial_assign_op,Sema,atomic property of reference type %0 cannot have non-trivial assignment operator,true,true
err_atomic_unsupported,Sema,atomic types are not supported in '%0',false,true
err_atprotocol_protocol,Sema,@protocol is using a forward protocol declaration of %0,true,true
err_attr_objc_ownership_redundant,Sema,the type %0 is already explicitly ownership-qualified,false,true
err_attr_swift_error_return_type,Sema,%0 attribute with '%1' convention can only be applied to a %select{function|method}2 returning %select{an integral type|a pointer}3,false,true
err_attr_tlsmodel_arg,Sema,"tls_model must be ""global-dynamic"", ""local-dynamic"", ""initial-exec"" or ""local-exec""",false,true
err_attribute_address_space_negative,Sema,address space is negative,false,true
err_attribute_address_space_too_high,Sema,address space is larger than the maximum supported (%0),false,true
err_attribute_argument_out_of_range,Sema,%0 attribute requires integer constant between %1 and %2 inclusive,false,true
err_attribute_arm_builtin_alias,Sema,'__clang_arm_builtin_alias' attribute can only be applied to an ARM builtin,true,true
err_attribute_arm_feature_sve_bits_unsupported,Sema,"%0 is only supported when '-msve-vector-bits=<bits>' is specified with a value of 128, 256, 512, 1024 or 2048",true,true
err_attribute_arm_mve_polymorphism,Sema,'__clang_arm_mve_strict_polymorphism' attribute can only be applied to an MVE/NEON vector type,false,true
err_attribute_arm_sm_incompat_builtin,Sema,builtin can only be called from a %0 function,false,true
err_attribute_bad_neon_vector_size,Sema,Neon vector size must be 64 or 128 bits,false,true
err_attribute_bad_rvv_vector_size,Sema,"invalid RVV vector size '%0', expected size is '%1' based on LMUL of type and '-mrvv-vector-bits'",true,true
err_attribute_bad_sve_vector_size,Sema,"invalid SVE vector size '%0', must match value set by '-msve-vector-bits' ('%1')",true,true
err_attribute_bounds_for_function,Sema,"%0 attribute references parameter %1, but the function %2 has only %3 parameters",false,true
err_attribute_builtin_alias,Sema,"%0 attribute can only be applied to a ARM, HLSL, SPIR-V or RISC-V builtin",false,true
err_attribute_dll_ambiguous_default_ctor,Sema,'__declspec(dllexport)' cannot be applied to more than one default constructor in %0,false,true
err_attribute_dll_deleted,Sema,attribute %q0 cannot be applied to a deleted function,false,true
err_attribute_dll_lambda,Sema,lambda cannot be declared %0,false,true
err_attribute_dll_member_of_dll_class,Sema,attribute %q0 cannot be applied to member of %q1 class,false,true
err_attribute_dll_not_extern,Sema,%q0 must have external linkage when declared %q1,true,true
err_attribute_dll_redeclaration,Sema,redeclaration of %q0 cannot add %q1 attribute,true,true
err_attribute_dll_thread_local,Sema,%q0 cannot be thread local when declared %q1,false,true
err_attribute_dllimport_data_definition,Sema,definition of dllimport data,true,true
err_attribute_dllimport_function_definition,Sema,dllimport cannot be applied to non-inline function definition,false,true
err_attribute_dllimport_function_specialization_definition,Sema,cannot define non-inline dllimport template specialization,false,true
err_attribute_dllimport_static_field_definition,Sema,definition of dllimport static field not allowed,false,true
err_attribute_integers_only,Sema,%0 attribute argument may only refer to a function parameter of integer type,false,true
