diag_name,component,message_template,covered_only_by_opportunistic_record
err_defined_in_pp_embed,Lex,'defined' cannot appear within this context,false
err_delegating_ctor,Sema,delegating constructors are permitted only in C++11,false
err_deleted_function_use,Sema,attempt to use a deleted function%select{|: %1}0,false
err_deleted_inherited_ctor_use,Sema,constructor inherited by %0 from base class %1 is implicitly deleted,false
err_dependent_deduced_tst,Sema,typename specifier refers to %select{class template|function template|variable template|alias template|template template parameter|template}0 member in %1; argument deduction not allowed here,false
err_dependent_tag_decl,Sema,%select{declaration|definition}0 of %select{struct|interface|union|class|enum}1 in a dependent scope,false
err_designator_for_scalar_or_sizeless_init,Sema,designator in initializer for %select{scalar|indivisible sizeless}0 type %1,false
err_destroying_operator_delete_not_usual,Sema,destroying operator delete can have only an optional size and optional alignment parameter,false
err_destructor_expr_mismatch,Sema,identifier %0 in object destruction expression does not name the type %1 of the object being destroyed,false
err_destructor_name,Sema,expected the class name after '~' to name the enclosing class,false
err_diagnose_if_expected_equals,Sema,expected '=' after diagnostic option,false
err_diagnose_if_succeeded,Sema,%0,false
err_diagnose_if_unexpected_value,Sema,unexpected value; use 'true' or 'false',false
err_diagnose_if_unknown_option,Sema,unknown diagnostic option,false
err_dimension_expr_not_constant_integer,Sema,dimension expression does not evaluate to a constant unsigned int,false
err_duplicate_attribute,Sema,attribute %0 is already applied with different arguments,false
err_early_catch_all,Sema,catch-all handler must come last,false
err_embedded_directive,Lex,embedding a #%0 directive within macro arguments is not supported,false
err_enumerator_does_not_exist,Sema,enumerator %0 does not exist in instantiation of %1,false
err_enumerator_wrapped,Sema,enumerator value %0 is not representable in the underlying type %1,false
err_except_spec_unparsed,Parse,unexpected end of exception specification,false
err_exception_spec_cycle,Sema,exception specification of %0 uses itself,false
err_expected_class_name,Parse,expected class name,true
err_expected_fold_operator,Parse,expected a foldable binary operator in fold expression,false
err_expected_method_body,Parse,expected method body,false
err_expected_punc,Parse,"expected ')' or ',' after '%0'",false
err_expected_rparen_after,Parse,expected ')' after '%0',false
err_expected_semi_after_attribute_list,Parse,expected ';' after attribute list,false
err_expected_semi_after_method_proto,Parse,expected ';' after method prototype,false
err_explicit_instantiation_ambiguous,Sema,partial ordering for explicit instantiation of %0 is ambiguous,false
err_explicit_instantiation_data_member_not_instantiated,Sema,explicit instantiation refers to static data member %q0 that is not an instantiation,false
err_explicit_instantiation_dependent,Sema,explicit instantiation has dependent template arguments,false
err_explicit_instantiation_in_class,Sema,explicit instantiation of %0 in class scope,false
err_explicit_instantiation_internal_linkage,Sema,explicit instantiation declaration of %0 with internal linkage,false
err_explicit_instantiation_member_function_not_instantiated,Sema,explicit instantiation refers to member function %q0 that is not an instantiation,false
err_explicit_instantiation_must_be_global,Sema,explicit instantiation of %0 must occur at global scope,false
err_explicit_instantiation_no_candidate,Sema,no viable candidate for explicit instantiation of %0,false
err_explicit_instantiation_requires_name,Sema,explicit instantiation declaration requires a name,false
err_explicit_instantiation_unqualified_wrong_namespace,Sema,explicit instantiation of %q0 must occur in namespace %1,false
err_explicit_object_lambda_ambiguous_base,Sema,lambda %0 is inaccessible due to ambiguity:%1,false
